accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude
2024-07-25,10:20:00 AM,четвер,місто,Львів,Сихівський,вулиця,Зелена,null,вул. Зелена - вул. Надійна,"наїзд на транспортний засіб, що стоїть - по ходу руху",недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.786431,24.07615
2024-07-18,4:23:00 PM,четвер,місто,Львів,Личаківський,вулиця,Глинянський Тракт,147,null,наїзд на пішохода - пішохід переходив дорогу поза межами піш. переходу,перехід у невстановленому місці,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.842432,24.097631
2024-08-11,1:20:00 PM,неділя,місто,Львів,Сихівський,вулиця,Зелена,273,null,перекидання тз,"керування транспортним засобом у нетверезому стані, перевищення безпечної швидкості",1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.801963,24.066179
2024-07-20,3:42:00 PM,субота,місто,Львів,Галицький,вулиця,Дорошенка П.,null,вул. Дорошенка П. - вул. Словацького Ю.,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.838121,24.023615
2024-07-25,9:18:00 PM,четвер,місто,Львів,Залізничний,вулиця,Городоцька,88,null,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.837858,24.006109
2024-08-06,9:30:00 PM,вівторок,місто,Львів,Личаківський,вулиця,Медової Печери,27,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.824591,24.079274
2024-07-28,6:50:00 PM,неділя,місто,Львів,Залізничний,вулиця,Шевченка Т.,31,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.845919,24.006774
2024-07-25,2:05:00 PM,четвер,місто,Львів,Шевченківський,проспект,"Чорновола В., просп.",null,просп. Чорновола В. - вул. Городоцька,зіткнення бокове,невиконання вимог сигналів регулювання,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.856634,24.02107
2024-07-18,3:30:00 AM,четвер,місто,Львів,Галицький,вулиця,Самчука У.,4,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.826418,24.032732
2024-07-16,2:23:00 PM,вівторок,місто,Львів,Галицький,вулиця,Листопадового Чину,null,вул. Листопадового Чину - вул. Університетська,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84074,24.021161
2024-07-11,7:45:00 AM,четвер,місто,Львів,Залізничний,вулиця,Кульпарківська,126,null,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.818455,23.987564
2024-07-31,6:55:00 PM,середа,місто,Львів,Франківський,вулиця,Княгині Ольги,3,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82383,24.007632
2024-07-17,11:35:00 PM,середа,місто,Винники,Личаківський,вулиця,Галицька,12,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.817738,24.130778
2024-08-12,5:30:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Хмельницького Б.,58,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.85234440822805,24.033352356795053
2024-07-16,9:50:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Зелена,347,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794324,24.07421
2024-07-18,2:01:00 PM,четвер,місто,Львів,Залізничний,вулиця,Шевченка Т.,62,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.847358,24.002182
2024-07-15,8:40:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Любінська,null,null,падіння пасажира,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.82316307532578,23.975172897171188
2024-08-13,12:01:00 AM,вівторок,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",35а,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.800457,24.04764
2024-08-02,9:28:00 PM,п'ятниця,місто,Львів,Шевченківський,вулиця,Шевченка Т.,321,null,перекидання тз,порушення правил маневрування,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.869525,23.933721
2024-07-13,11:12:00 PM,субота,місто,Львів,Франківський,вулиця,Наукова,7г,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.803258,24.003641
2024-08-06,5:13:00 PM,вівторок,місто,Львів,Шевченківський,вулиця,Миколайчука І.,6,null,наїзд на пішохода - стояв на проїжджій частині,перехід пішоходів у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.874864,24.041369
2024-07-17,8:25:00 AM,середа,місто,Львів,Залізничний,вулиця,Левандівська,14,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,помер по дорозі в лікарню,null,null,null,null,null,null,null,null,null,49.844902,23.984989
2024-07-27,10:30:00 PM,субота,місто,Львів,Личаківський,вулиця,Хмельницького Б.,230а,null,перекидання тз,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.87225,24.062231
2024-08-03,9:35:00 PM,субота,місто,Львів,Залізничний,вулиця,Виговського І.,34,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,порушення правил під час перестроювання,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.824609,23.967587
2024-07-12,6:01:00 PM,п'ятниця,місто,Львів,Сихівський,вулиця,Коломийська,null,вул. Коломийська - вул. Трильовського К.,зіткнення з задньою частиною тз,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.78772,24.063567
2024-07-17,1:30:00 PM,середа,місто,Львів,Галицький,вулиця,Меретина Б.,5,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.837803,24.00745
2024-08-05,9:14:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Городоцька,112,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836896,23.996732
2024-08-05,1:40:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Городоцька,282а,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.823356,23.92819
2024-09-09,9:45:00 AM,понеділок,місто,Львів,Сихівський,вулиця,Стрийська,45а,null,зіткнення бокове,порушення правил надання безперешкодного проїзду,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.806814,24.019026
2024-08-14,11:01:00 AM,середа,місто,Львів,Сихівський,вулиця,Запорізька,27,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.814419,24.034846
2024-08-15,5:43:00 PM,четвер,селище,Брюховичі,Шевченківський,вулиця,Володимира Івасюка,3,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.901863,23.938522
2024-09-08,7:30:00 PM,неділя,місто,Львів,Залізничний,вулиця,Північна,2,null,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.833557,23.933271
2024-08-29,8:01:00 PM,четвер,місто,Львів,Франківський,вулиця,Володимира Великого,58,null,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811816,23.986158
2024-09-04,8:25:00 PM,середа,місто,Львів,Франківський,вулиця,"Сахарова А., акад.",23,null,наїзд на інші види перешкод,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.824636,24.012031
2024-08-31,6:01:00 PM,субота,місто,Дубляни,Шевченківський,вулиця,Київська,16,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.891631,24.091494
2024-08-31,2:20:00 PM,субота,місто,Львів,Личаківський,вулиця,Пасічна,93,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811761,24.080084
2024-08-28,4:55:00 PM,середа,місто,Львів,Франківський,вулиця,Рубчака І.,17а,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.806692,24.011929
2024-09-10,9:45:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Зелена,null,Обїзна,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.780266,24.089799
2024-09-01,7:31:00 PM,неділя,місто,Львів,Личаківський,площа,"Петрушевича Є., пл.",null,пл. Петрушевича Є. - вул. Зелена,зіткнення бокове,проїзд перехрестя на заборонений сигнал світлофора чи жест регулювальника,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.834246,24.035522
2024-08-22,8:26:00 PM,четвер,місто,Львів,Личаківський,вулиця,Личаківська,null,вул. Личаківська - вул. Долішня,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836055,24.06501
2024-08-27,9:40:00 PM,вівторок,місто,Львів,Шевченківський,вулиця,Єрошенка В.,17а,null,наїзд на інші види перешкод,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.852304,24.003201
2024-08-27,9:40:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",46,null,зіткнення бокове,керування транспортним засобом у нетверезому стані,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,49.872997,24.048439
2024-08-16,7:17:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,96,null,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.80505,23.988611
2024-08-27,2:30:00 PM,вівторок,місто,Винники,Личаківський,вулиця,Галицька,85,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.817936,24.15134
2024-09-07,1:46:00 PM,субота,місто,Львів,Шевченківський,вулиця,"Ковалика, проф.",1,null,наїзд на велосипедиста - велосипедист рухався у попутному напрямку,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.867679,23.952239
2024-09-10,3:30:00 PM,вівторок,місто,Львів,Галицький,вулиця,Коперника М.,45,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.832436,24.018667
2024-08-18,11:15:00 AM,неділя,місто,Львів,Личаківський,вулиця,Личаківська,217,null,наїзд на інші види перешкод,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.835806,24.074129
2024-09-09,2:50:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,"Мазепи І., гетьм.",24,null,падіння пасажира,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.871195,24.040237
2024-08-22,3:16:00 PM,четвер,місто,Львів,Личаківський,вулиця,Вахнянина А.,17,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.829401,24.055467
2024-08-30,10:10:00 PM,п'ятниця,місто,Львів,Галицький,проспект,"Свободи, просп.",11,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.84056,24.027448
2024-08-19,2:08:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Прилбицька,null,5 км колії Ж/Д 7 пікет,"наїзд на транспортний засіб, що стоїть - по ходу руху",порушення правил проїзду залізничних переїздів,2,без ушкоджень,помер на місці дтп,null,null,null,null,null,null,null,null,null,49.875413,23.949369
2024-08-17,1:38:00 PM,субота,місто,Львів,Сихівський,вулиця,Мирного Панаса,22а,null,зіткнення бокове,порушення правил обгону,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.815354,24.030318
2024-08-23,10:45:00 PM,п'ятниця,місто,Львів,Галицький,вулиця,Городоцька,null,вул. Городоцька - вул. Шпитальна,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.844258,24.024691
2024-08-18,4:30:00 PM,неділя,місто,Львів,Сихівський,вулиця,Угорська,12,null,наїзд на пішохода - пішохід рухався у попутному напрямку,"порушення правил під час зміни напрямку руху, не пов’язане з перестроюванням",2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.812058,24.040757
2024-08-24,11:10:00 PM,субота,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",36,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.798504,24.047726
2024-08-10,9:30:00 PM,субота,місто,Львів,Галицький,вулиця,Стуса В.,4,null,наїзд на пішохода - пішохід на тротуарі чи велосипедній доріжці,інші порушення правил руху,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.821923,24.039084
2024-08-26,8:14:00 PM,понеділок,місто,Львів,Личаківський,вулиця,Ковельська,62,null,наїзд на пішохода - пішохід рухався у попутному напрямку,неочікуваний вихід на проїжджу частину,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.858602,24.05905
2024-08-26,6:30:00 PM,понеділок,місто,Львів,Сихівський,вулиця,Сихівська,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.794383,24.063363
2024-08-26,8:37:00 AM,понеділок,місто,Львів,Галицький,вулиця,Городоцька,8,null,падіння пасажира,порушення правил перевезення пасажирів,3,легко травмований,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.843971,24.023999
2024-09-02,9:15:00 PM,понеділок,місто,Львів,Личаківський,вулиця,Зелена,10,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.833464,24.036402
2024-08-17,7:01:00 PM,субота,місто,Львів,Шевченківський,вулиця,Миколайчука І.,11,null,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.875911,24.039883
2024-09-04,5:33:00 PM,середа,місто,Львів,Галицький,вулиця,Вітовського Д.,41,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.830007,24.023838
2024-08-28,12:15:00 PM,середа,місто,Львів,Сихівський,вулиця,Козельницька,41,null,наїзд на інші види перешкод,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.811304,24.025024
2024-08-27,3:30:00 AM,вівторок,місто,Львів,Сихівський,вулиця,Сихівська,16а,null,перекидання тз,перевищення безпечної швидкості,1,легко травмований,null,null,null,null,null,null,null,null,null,null,49.795228,24.064178
2024-08-18,11:55:00 AM,неділя,місто,Львів,Залізничний,вулиця,Рудненська,10,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,тяжко травмований,null,null,null,null,null,null,null,null,null,49.836716,23.968257
2024-08-29,2:01:00 AM,четвер,місто,Львів,Галицький,проспект,"Свободи, просп.",16,null,наїзд на інші види перешкод,перевищення безпечної швидкості,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.841664,24.028805
2024-09-05,6:01:00 PM,четвер,місто,Львів,Сихівський,вулиця,Довженка О.,null,null,наїзд на пішохода - пішохід рухався у попутному напрямку,порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.800007,24.054351
2024-09-10,5:05:00 PM,вівторок,місто,Львів,Личаківський,вулиця,Глинянський Тракт,18,null,наїзд на велосипедиста - на велосипедній доріжці,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.836775,24.072928
2024-09-10,12:11:00 PM,вівторок,місто,Львів,Личаківський,вулиця,Хмельницького Б.,176,null,зіткнення бокове,перевищення безпечної швидкості,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.861448,24.051036
2024-08-17,9:37:00 AM,субота,місто,Львів,Шевченківський,вулиця,Липинського В.,null,вул. Липинського В. - просп. Чорновола В.,зіткнення бокове,порушення правил маневрування,3,без ушкоджень,легко травмований,легко травмований,null,null,null,null,null,null,null,null,49.857049,24.021692
2024-08-21,6:35:00 PM,середа,місто,Львів,Франківський,вулиця,Музики Я.,null,вул. Музики Я. - вул. Молдавська,зіткнення бокове,порушення правил проїзду перехресть,3,без ушкоджень,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,49.815226,23.995525
2024-09-08,4:09:00 PM,неділя,місто,Львів,Франківський,вулиця,Стрийська,260,null,наїзд на пішохода - пішохід рухався у попутному напрямку,перехід у невстановленому місці,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.792042,24.015394
2024-09-06,7:27:00 PM,п'ятниця,місто,Львів,Франківський,вулиця,Володимира Великого,123б,null,зіткнення бокове,порушення правил маневрування,2,легко травмований,легко травмований,null,null,null,null,null,null,null,null,null,49.811446,23.989291
2024-09-08,1:30:00 PM,неділя,місто,Львів,Шевченківський,вулиця,Підзамче,1,null,зіткнення бокове,порушення правил проїзду перехресть,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.852915414785066,24.035068089115
2024-09-07,1:30:00 PM,субота,місто,Львів,Залізничний,вулиця,Виговського І.,null,вул. Виговського І. - вул. Любінська,падіння пасажира,порушення правил перевезення пасажирів,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.82063478504707,23.969024972554486
2024-09-09,3:17:00 PM,понеділок,місто,Львів,Шевченківський,вулиця,Грінченка Б.,11,null,зіткнення бокове,порушення правил маневрування,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.872506,24.056963
2024-08-29,1:30:00 PM,четвер,місто,Львів,Личаківський,вулиця,Личаківська,8,null,наїзд на пішохода - пішохід рухався у попутному напрямку,інші порушення правил руху,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.839643,24.038687
2024-09-10,1:02:00 AM,вівторок,місто,Львів,Шевченківський,вулиця,Липинського В.,30,null,зіткнення бокове,недодержання дистанції,2,без ушкоджень,легко травмований,null,null,null,null,null,null,null,null,null,49.861977,24.029267
